ID,types,Text1,Text2,Class
10,Thermodynamic Analysis System,"In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, Generate_H/C_Signal shall output the status information of the heating or cooling unit.","In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, Generate_H/C_Signal should output the status information of the heating unit.",Conflict
11,Thermodynamic Analysis System,"When a request to turn on a heating or cooling unit is received, the system shall determine if the request can be honored.","When a request to turn on a heating  unit is received, the system shall determine if the request can be honored.",Conflict
12,Thermodynamic Analysis System,The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report.,The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a dynamic summary report.,Conflict
13,Thermodynamic Analysis System,Generate_H/C_Request shall include the designation of the heating or cooling unit and a flag to indicate whether that unit is to be turned on or off.,The series of beeps shall continue until the supervisor manually resets the alarm through the supervisor’s interface window.,Neutral
14,Thermodynamic Analysis System,"If the current temperature value is less than the lower value of the valid temperature range or if the received temperature value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the current temperature value as an invalid temperature and shall output an invalid temperature status. Otherwise, the THEMAS system shall output a valid temperature status.","In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, Generate_H/C_Signal shall output the status information of the heating or cooling unit.",Neutral
15,Thermodynamic Analysis System,Set_Trigger_Values shall read the initialization file and establish the trigger value from the data in that file.,"If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue.",Neutral
16,Thermodynamic Analysis System,"Generate_H/C_Signal shall recognize the values for the requested heating or cooling unit and the ON or OFF status that is being requested.Since the interface to control the units has not been defined, the part of this process that will issue the signal is designated as TBD(to be determined).",The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a dynamic summary report.,Neutral
17,Thermodynamic Analysis System,The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.,The maximum number of concurrently running units must be read from the initialization file and replicated in the THEMAS system.,Conflict
18,Thermodynamic Analysis System,"If the statistical report is selected, the THEMAS system shall present the operator with a list of available months from which to make a selection.","If the statistical report is selected, the THEMAS system shall present the operator with a list of available dates from which to make a selection.",Conflict
19,Thermodynamic Analysis System,The THEMAS system shall record each event by a description and the current system time for that event.,The THEMAS system should record each event by a description for that event.,Conflict
20,Safety-Critical Certification System,"When an evidence item of an assurance project is related to other evidence items of the project by means of evidence traceability links, the OPENCOSS platform shall inform the user that the evaluation of the evidence item might depend on the evaluation of the others.",The OPENCOSS platform shall show the actions required in an assurance project as a result of evidence item changes.,Neutral
21,Safety-Critical Certification System,The OPENCOSS platform shall provide users with the choice to drop evidence traceability links of an assurance project.,The OPENCOSS platform shall provide users with the ability to drop evidence traceability links of an assurance project.,Conflict
22,Safety-Critical Certification System,"When a user has indicated a possible change in an evidence item of an assurance project, the OPENCOSS platform shall indicate the evidence items of the assurance project that would be affected by the change.",The OPENCOSS platform shall provide users with the ability to indicate if an action required in an assurance project as a result of the change of an evidence item has been addressed.,Neutral
23,Safety-Critical Certification System,The OPENCOSS platform shall provide users with the ability to indicate whether the specification of characteristics for an evidence item of an assurance project is regarded as complete.,"The OPENCOSS platform shall be able to generate reports about the body of evidence of an assurance project by means of documents in PDF, RTF, and MS Word formats.",Neutral
24,Safety-Critical Certification System,The OPENCOSS platform shall be able to automatically associate an artefact in an external tool to an evidence item of an assurance project imported from the external tool.,The OPENCOSS platform must be able to automatically indicate the tool that stores the artefact associated to an evidence item of an assurance project imported from external tool.,Conflict
25,Safety-Critical Certification System,The OPENCOSS platform shall be able to generate reports about the body of evidence of an assurance project in the form of HTML files.,The OPENCOSS platform shall provide users with the ability to define tables to show traceability between the evidence items of an assurance project.,Neutral
26,Safety-Critical Certification System,"When the status of an action required in an assurance project as a result of evidence evaluation is ""pending"", the OPENCOSS platform shall colour such an action in red.",The OPENCOSS platform shall provide users with the ability to indicate the evidence type of the current evidence items of an assurance project.,Neutral
27,Safety-Critical Certification System,The OPENCOSS platform must provide users with the ability to modify the intermediate nodes in the tree-view for display of the evidence items of an assurance project only once.,The OPENCOSS platform shall provide users with the ability to modify the intermediate nodes in the tree-view for display of the evidence items of an assurance project.,Conflict
28,Safety-Critical Certification System,The OPENCOSS platform shall be able to export evidence traceability links of an assurance project to external tools.,The OPENCOSS platform must be able to send out evidence traceability links of an assurance project to external and internal tools.,Conflict
29,Safety-Critical Certification System,"When an evidence traceability link of an assurance project contains information imported from an external tool, and the information in the OPENCOSS platform is modified, the OPENCOSS platform shall indicate such a modification by colouring the evidence traceability link in red.","When an evidence traceability link of an assurance project contains information imported from an external tool, and the information in the external tool is modified, the OPENCOSS platform shall indicate such a modification by colouring the evidence traceability link in red.",Conflict
30,Health Management System,"The system shall support requirements for codified data, including diagnosis data using ICD-9 codes.",The system shall include non-Standard Laboratory and Medication orderable files.,Neutral
31,Health Management System,"The system shall require a smart card reader, smart card, and a PIN to digitally sign an order.",The system shall require only a smart card to digitally sign an order.,Conflict
32,Health Management System,The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall allow medication orders to be placed and filled from local stocks of medications while providing auditing of most medication orders within the medication profile.,Conflict
33,Health Management System,The system shall allow creation of personalized templates to fit the specific needs of individual practices.,The system shall allow creation of semi-personalized templates to fit the specific needs of individual practices.,Conflict
34,Health Management System,The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.,The system shall mimic traditional order entry processes where necessary to accommodate established clinical practices.,Neutral
35,Health Management System,"The system shall check ICD and CPT code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option.","The system shall only check ICD code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option.",Conflict
36,Health Management System,"The system shall require most orders or documents, such as progress notes, reports, or health summaries, to have an electronic signature.","The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",Neutral
37,Health Management System,The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure.,The system shall allow 100 hierarchies of subclasses to be created in the User Hierarchy Class structure.,Conflict
38,Health Management System,"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",Problems entered on the encounter form by clerical personnel shall be left as UNVERIFIED.,Neutral
39,Health Management System,The system shall support audit capability.,The system shall include non-Standard Laboratory and Medication orderable files.,Neutral
40,Health Management System,The system shall provide a way to limit the users or sites that have access to remote retrievable data.,The system shall select the item at the top of the list if the user does not enter enough characters to uniquely identify an item.,Neutral
41,Health Management System,The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall allow physician offices to only use social security numbers to identify patients.,Conflict
42,Health Management System,"The system shall view users who hold the OREMAS key to be a clerical user, and, consequently, the verify, remove, restore, and view removed options will not be available.",The system shall provide tools for creating business rules that apply to documents used by members of such groups.,Neutral
43,Health Management System,The system shall update diagnostic and procedure codes used for billing purposes so codes are applicable at the time the service was provided.,The system shall design the Kernel Person Class File to accommodate the HCFA National Provider System Taxonomy of Professionals/Occupations.,Neutral
44,Health Management System,The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall require digital signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,Conflict
45,Health Management System,The system shall have pre-defined progress note templates.,"The system shall integrate orders with progress notes, results, procedures, diagnosis, and Problem List.",Neutral
46,Health Management System,The system shall delete history of received immunizations.,The system shall only delete history of recieved immunizations unless user specifies,Conflict
47,Health Management System,The system shall indicate that a record is sensitive and may only be viewed by authorized users only if the user is not authorized.,"The system shall support the Ambulatory Care Date Capture project for capturing encounter data for workload credit, as well as capturing clinically relevant data for reminders and reports.",Neutral
48,Health Management System,The system shall allow medication orders to be placed and filled from local stocks of medications while providing auditing of most medication orders within the medication profile.,"The system shall sort notifications based on column heading: Location (patient location, if known, alphabetical or reverse alphabetical).",Neutral
49,Health Management System,The system's design shall follow hospital work flow patterns and allow local site and individual customization to make it fit specific needs.,The system's design shall follow hospital work flow patterns while minimizing individual customization in order to make the system similar across practises.,Conflict
50,Health Management System,"The system shall retain notifications for a predetermined amount of time (up to 30 days), after which they may be sent to another destination, such as your MailMan surrogate or your supervisor.","The system shall retain notifications for a predetermined amount of time (more than 30 days), after which they may be sent to another destination, such as your MailMan surrogate or your supervisor.",Conflict
51,Health Management System,The system will abort when the user tries to login if tabs are not assigned to the user in their NEW PERSON file or if the RESTRICT PATIENT SELECTION prompt does not contain a Yes or No.,The system shall improve accessibility of online clinical information and results.,Neutral
52,Health Management System,The system shall ensure that all team members receive necessary information about a patient by using patient lists to tie notifications to teams.,The system shall ensure that some team members receive all information about a patient by using patient lists to tie notifications to teams.,Conflict
53,Health Management System,The system shall require the user to have access to the Clinical Coorindator menu in the List Manager Interface to assign CPRS tab access.,The system shall require the user to have access to the List Manager Interface to assign CPRS tab access.,Conflict
54,Health Management System,Problems entered on the encounter form by clerical personnel shall be left as UNVERIFIED.,Problems entered on the encounter form by clerical personnel shall be left as UNSIGNED.,Conflict
55,Health Management System,The system shall mimic traditional order entry processes where necessary to accommodate established clinical practices.,The system shall make the traditional order entry processes more practical.,Conflict
56,Health Management System,The system shall only update diagnostic used for billing purposes so codes are applicable at the time the service was provided.,The system shall display a message that a patient has data from the legacy system used before the site was consolidated that is not being displayed which a user may want to access.,Neutral
57,Health Management System,The system shall require the entry of an access code and a verify code to gain access to the system.,The system shall require the entry of an access code to gain access to the system.,Conflict
58,Health Management System,The system shall design the Kernel Person Class File to accommodate the HCFA National Provider System Taxonomy of Professionals/Occupations.,The system shall include Standard Laboratory and Medication orderable files.,Neutral
59,Health Management System,The system shall store which column the user sorted by when the user exits or changes patients and sorts by that column again when the Patient Selection/Notifications screen is next displayed.,The system shall not allow user classes to be used across VistaA to replace and/or complement security keys.,Neutral
60,UAV Control System,"The Pilot controller shall be able to design, upload, start, follow, and disengage a flight path to the Hummingbird within the distance and direction to the Hummingbird.",The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neutral
61,UAV Control System,The Pilot shall be able to communicate with the custom communications network  within a 50-mile radius of the pilot station.,The Pilot shall be able to communicate with the UAV  within a 50-mile radius of the pilot station.,Conflict
62,UAV Control System,"The Pilot controller shall detect instances of communication loss and automatically reconnect, if possible.","TheAviary is a system of systems consisting of a pilot controller, UAV , and <= 4 Viewers.",Neutral
63,UAV Control System,The UAV shall only accept commands from an authenticated Pilot controller.,The UAV shall be able to fly above 700 feet.,Neutral
64,UAV Control System,The Pilot controller shall be able to download a flight plan from the Hummingbird consisting of a set of waypoints within the flight range of the Hummingbird.,The UAV shall communicate with the Pilot Controller and a maximum of at least 6 Viewers.,Neutral
65,UAV Control System,The Pilot can communicate with the UAV using a custom communications network that can establish communication within a 50-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network,Conflict
66,UAV Control System,The Pilot controller shall be able to command the Hummingbird to return to its starting position automously. ,"The UAV Viewer (also known as the ""Viewer"") shall securely connect to the UAV.",Neutral
67,UAV Control System,"The Pilot controller shall automatically reconnect in the event of communication loss and automatically reconnect, if possible.","The Pilot controller shall detect instances of communication loss and manually reconnect, if possible.",Conflict
68,UAV Control System,The Pilot controller shall be able to call the Hummingbird to come back to its starting position autonomously.,The Pilot controller cannot request the Hummingbird to return to its starting position autonomously.,Conflict
69,UAV Control System,The Pilot controller shall initiate autonomous return of the Hummingbird to its starting position.,The Pilot controller shall be able to request the Hummungbird to return to its ending position autonomously. ,Conflict
70,UAV Monitoring and Visualization System,The Pilot shall have near real-time visual feedback from the UAV's camera usable for the purpose of navigation and/or surveillance.,The Viewer shall connect with locally-available wireless networks.,Neutral
71,UAV Monitoring and Visualization System,The UAB shall send the Pilot the power and estimated flight time remaining every 1-2 minutes.,"Using the Aviary SoS wireless network, the Viewer shall connect to the UAV.",Neutral
72,UAV Monitoring and Visualization System,The Viewer shall connect with the Aviary wireless network provided by the  SoS.,The Viewer shall connect with the any wireless network available,Conflict
73,UAV Monitoring and Visualization System,The Viewer shall connect with the Aviary wireless network provided by the  SoS.,"The Pilot shall be able to reset to default the zoom, aim and focus of the UAV camera in real-time.",Neutral
74,UAV Monitoring and Visualization System,The UAV shall be able to transmit video feed to the Pilot and up to 10 separate UAV Viewer devices.,The UAV shall be able to simultaneously transmit live video to the Pilot and no more than 4 UAV Viewer devices.,Conflict
75,UAV Monitoring and Visualization System,"Using the Aviary SoS wireless network, the Viewer shall connect to the UAV.",The Viewer shall connect with locally-available wireless networks.,Conflict
76,UAV Monitoring and Visualization System,"The UAV Viewer (also known as the ""Viewer"") shall connect to the UAV in an insecure fashion. ","The UAV Viewer (also known as the ""Viewer"") shall connect to the UAV in an insecure fashion.",Conflict
77,UAV Monitoring and Visualization System,The Pilot shall be able to control the UAV camera in real-time.,"The UAV Viewer (also known as the ""Viewer"") shall connect to the UAV using air waves.",Neutral
78,UAV Monitoring and Visualization System,The UAV shall be able to simultaneously transmit live video to the Pilot and no more than 4 UAV Viewer devices.,The aircraft shall be known as the Hummingbird.,Neutral
79,UAV Monitoring and Visualization System,Remote surveillance shall include video streaming for automatic navigation of the surveillance platform and for remote viewer by at least 8 independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by no less than 4 independent operations personnel.,Conflict
80,UAV Mission Management System,The UAV shall be able to return to its starting position autonomously upon receiving a command from the Pilot or when a definable event has occurred. ,The UAV shall be able to autonomously return to its starting position when a definable event has occurred or when receiving a command from the pilot. ,Conflict
81,UAV Mission Management System,"The UAV shall maintain roll, pitch and yaw (attitude) in the presence of low to moderate winds. ",The UAV visual feed shall have a night time heat sensing camera capability,Neutral
82,UAV Mission Management System,The UAB shall periodically send the Pilot the power and estimated flight time remaining.,The UAB shall send the Pilot the power and estimated flight time remaining upon request.,Conflict
83,UAV Mission Management System,The Pilot shall be able to control the speed of flight from 0 to up to 10 miles per hour in all directions while remaining horozontile to the plane.,The Pilot shall have total speed control over the speed of flight from 0 to maximum speed in any direction in a smooth fashion.,Conflict
84,UAV Mission Management System,The UAV shall be able to fly above an above average 70 story building. ,The UAV visual feed shall be free of motion artifacts for fast and moderate speed elements in its visual field.,Neutral
85,UAV Mission Management System,"The UAV shall support a stealth mode in which it emits no light during flight, which may be enabled or disabled from the Pilot control.","The UAV shall support a stealth mode in which it emits no sound during flight, which may be enabled or disabled from the Pilot control.",Conflict
86,UAV Mission Management System,The Pilot shall rotate the UAV when it is moving north.,The UAV shall be visible to observers to at least 150m in daylight and 37m at night.,Neutral
87,UAV Mission Management System,"The UAV shall maintain attitude (roll, pitch, and yaw) in the presence of low to moderate winds.","The UAV shall maintain roll, pitch and yaw (attitude) in the presence of low to moderate winds. ",Conflict
88,UAV Mission Management System,The UAV's direction of flight shall be independent of its pitch (horizontal rotational orientation).,The UAV shall fully charge in less than 3 days. ,Neutral
89,UAV Mission Management System,The UAV shall save information about malfunctions that impact the mission.,"The UAV shall send time-delayed altitude-above-floor information to the Pilot to facilitate landing, take off and object avoidance.",Neutral
90,UAV Communication Security System,The UAV shall automatically land when communication with the pilot is lost and the remaining flight time is low.,The UAV shall be able to fly above an average 70 story building,Neutral
91,UAV Communication Security System,The Pilot shall be able to fly the UAV to any accessible-by-air location within 32 kilometers of its origin,"Communication established between flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Neutral
92,UAV Communication Security System,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot shall rotate the UAV based on its direction of travel.,Neutral
93,UAV Communication Security System,All UAV data transmission shall be secure against unauthorized access.,Only some UAV data transmission shall be secure against unauthorized access.,Conflict
94,UAV Communication Security System,"Communication established between flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Communication along the flight and platform should be secure from hacking and eavesdropping.,Conflict
95,UAV Communication Security System,The UAV shall be able to automatically a flight plan made up of a set of waypoints inside its range and flight capabilities. ,The UAV shall detect instances of remote viewing app communication success and hover in position when communication is unstable.,Neutral
96,UAV Communication Security System,"Communication among the flight, operations elements, and platform shall not be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Conflict
97,UAV Communication Security System,The custom communications network shall provide connections for access between the pilot and the UAV,The pilot's communication with the UAV shall require a secure connection.,Conflict
98,UAV Communication Security System,The UAV shall detect instances of Pilot communication loss and both wait for communication to resume and hover in position until communication is reestablished.,"The Pilot shall be able to observe the zoom, aim and focus of the UAV camera in real-time",Neutral
99,UAV Communication Security System,The UAV shall land automatically when Pilot communication is lost and the estimated flight time remaining is less than 5 minutes.,The UAV shall automatically land when communication with Pilot is lost and estimated remaining flight time is less than 5 minutes. ,Conflict
